Sigla;Código;Município;1970;1980;1991;2000;2010;
ES;3200102;Afonso Cláudio;51,67;57,61;65,049;69,394;74,51;
ES;3200136;Águia Branca;;;60,185;63,456;72,53;
ES;3200169;Água Doce do Norte;;;57,745;62,54;74,13;
ES;3200201;Alegre;50,64;58,69;63,417;68,632;75,35;
ES;3200300;Alfredo Chaves;53,58;62,65;68,091;72,021;74,93;
ES;3200359;Alto Rio Novo;;;58,019;63,262;73,89;
ES;3200409;Anchieta;55,47;61,82;67,193;72,021;76,35;
ES;3200508;Apiacá;54,33;61,54;66,331;69,037;75,45;
ES;3200607;Aracruz;55,1;61,48;64,374;69,17;75,26;
ES;3200706;Atilio Vivacqua;54,75;61,54;66,132;69,037;75,45;
ES;3200805;Baixo Guandu;50,52;60,06;61,009;64,547;73,66;
ES;3200904;Barra de São Francisco;49,93;56,83;60,022;64,762;73,9;
ES;3201001;Boa Esperança;55,05;57,71;60,192;63,456;73,95;
ES;3201100;Bom Jesus do Norte;53,97;60,72;65,498;71,302;76,22;
ES;3201159;Brejetuba;;;65,049;67,086;74,65;
ES;3201209;Cachoeiro de Itapemirim;55,98;61,48;65,498;68,922;75,2;
ES;3201308;Cariacica;51,95;58,75;62,031;67,163;75,64;
ES;3201407;Castelo;58,37;61,54;66,132;70,403;76,09;
ES;3201506;Colatina;54,84;61,67;68,459;70,723;75,45;
ES;3201605;Conceição da Barra;49,11;53,76;57,33;63,301;73,59;
ES;3201704;Conceição do Castelo;57,02;59,94;63,885;67,086;73,59;
ES;3201803;Divino de São Lourenço;54,59;59,29;63,387;68,632;74,16;
ES;3201902;Domingos Martins;54;59,94;65,049;69,394;74,98;
ES;3202009;Dores do Rio Preto;52,56;59,29;63,159;70,526;73,78;
ES;3202108;Ecoporanga;47,42;57,14;61,097;65,83;74,13;
ES;3202207;Fundão;51,88;60,33;64,374;69,027;75,34;
ES;3202256;Governador Lindenberg;;;;;74,35;
ES;3202306;Guaçuí;51,77;56,88;61,395;68,632;75,73;
ES;3202405;Guarapari;57,75;62,39;65,592;72,021;75,21;
ES;3202454;Ibatiba;;;63,159;70,526;74,8;
ES;3202504;Ibiraçu;55,56;61,26;62,803;70,588;75,08;
ES;3202553;Ibitirama;;;62,925;68,632;74,24;
ES;3202603;Iconha;55,01;62,65;68,091;73,498;74,77;
ES;3202652;Irupi;;;62,925;70,526;72,9;
ES;3202702;Itaguaçu;59,4;64,23;67,49;71,332;73,1;
ES;3202801;Itapemirim;50,52;58,16;60,186;64,242;73,5;
ES;3202900;Itarana;59,4;64,76;68,455;70,15;73,51;
ES;3203007;Iúna;50,89;61,6;64,236;70,526;74,74;
ES;3203056;Jaguaré;;;58,293;63,127;73,59;
ES;3203106;Jerônimo Monteiro;56,06;59,25;62,706;63,972;75,61;
ES;3203130;João Neiva;;;66,133;69,027;76,42;
ES;3203163;Laranja da Terra;;;65,049;69,394;73,59;
ES;3203205;Linhares;54,02;58,68;64,374;68,119;75,05;
ES;3203304;Mantenópolis;45,81;54,89;61,097;64,762;73,61;
ES;3203320;Marataízes;;;60,662;64,242;75,8;
ES;3203346;Marechal Floriano;;;65,049;70,723;75,95;
ES;3203353;Marilândia;;;68,459;70,723;74,35;
ES;3203403;Mimoso do Sul;55,49;61,54;66,132;71,041;74,64;
ES;3203502;Montanha;48,97;53,72;64,434;66,5;73,96;
ES;3203601;Mucurici;50,92;56,91;61,738;66,5;74,7;
ES;3203700;Muniz Freire;53,67;59,29;65,559;68,632;74,24;
ES;3203809;Muqui;57,55;61,69;64,053;65,897;73,1;
ES;3203908;Nova Venécia;55,4;59,53;66,067;67,257;75,48;
ES;3204005;Pancas;52,56;59,49;58,019;63,127;73,89;
ES;3204054;Pedro Canário;;;57,33;63,127;73,71;
ES;3204104;Pinheiros;49,9;53,73;64,015;67,319;73,96;
ES;3204203;Piúma;52,52;60,97;65,592;72,021;76,11;
ES;3204252;Ponto Belo;;;64,434;66,5;71,96;
ES;3204302;Presidente Kennedy;53,34;58,16;60,607;64,242;73,5;
ES;3204351;Rio Bananal;;;66,133;68,119;73,1;
ES;3204401;Rio Novo do Sul;50,79;62,65;67,628;73,498;75,21;
ES;3204500;Santa Leopoldina;57,54;64,23;68,366;70,15;72,79;
ES;3204559;Santa Maria de Jetibá;;;67,49;70,15;75,04;
ES;3204609;Santa Teresa;59,98;64,78;69,779;74,846;75,04;
ES;3204658;São Domingos do Norte;;;61,009;67,011;73,66;
ES;3204708;São Gabriel da Palha;53,97;61,74;62,739;68,789;75,08;
ES;3204807;São José do Calçado;53,3;61,54;66,132;70,403;73,81;
ES;3204906;São Mateus;51,59;58,64;58,788;64,93;75,55;
ES;3204955;São Roque do Canaã;;;67,49;71,332;73,16;
ES;3205002;Serra;50,99;58,21;62,719;67,322;75,66;
ES;3205010;Sooretama;;;64,374;68,119;73,1;
ES;3205036;Vargem Alta;;;67,749;69,576;73,81;
ES;3205069;Venda Nova do Imigrante;;;63,966;70,723;75,69;
ES;3205101;Viana;54,52;59,85;62,838;67,053;73,94;
ES;3205150;Vila Pavão;;;63,504;65,569;74,79;
ES;3205176;Vila Valério;;;59,655;65,569;73,93;
ES;3205200;Vila Velha;51,08;61;66,187;69,049;76,84;
ES;3205309;Vitória;51,23;58,15;67,87;70,74;76,28;
ES;3299919;Riacho;;;;;;
ES;3299929;Ponte do Itabapoana;;;;;;
MG;3100104;Abadia dos Dourados;52,28;60,09;68,665;72,916;75,35;
MG;3100203;Abaeté;51,92;61,07;68,044;72,504;75,9;
MG;3100302;Abre Campo;48,94;58,25;65,668;69,784;74,36;
MG;3100401;Acaiaca;49,68;56,44;58,958;63,357;74,36;
MG;3100500;Açucena;49,67;54,32;64,902;67,885;75,66;
MG;3100609;Água Boa;46,9;57,38;65,476;67,142;72,94;
MG;3100708;Água Comprida;51,44;62,19;70,554;74,209;76,58;
MG;3100807;Aguanil;57,68;58,9;65,672;72,849;75,7;
MG;3100906;Águas Formosas;47,76;53;59,242;62,916;73,63;
MG;3101003;Águas Vermelhas;51,52;54,9;60,314;65,914;73,46;
MG;3101102;Aimorés;49,84;55,58;63,924;72,287;73,58;
MG;3101201;Aiuruoca;50,84;59,07;64,531;70,64;77,23;
MG;3101300;Alagoa;48,88;58,95;65,485;71,531;74,93;
MG;3101409;Albertina;56,27;59,68;69,642;72,383;73,76;
MG;3101508;Além Paraíba;51,58;62,17;67,365;69,116;76,43;
MG;3101607;Alfenas;51,03;61,44;71,413;76,851;75,45;
MG;3101631;Alfredo Vasconcelos;;;66,356;70,501;75,01;
MG;3101706;Almenara;48,09;52,17;62,717;64,686;73,18;
MG;3101805;Alpercata;51,9;55,4;67,925;69,789;74,43;
MG;3101904;Alpinópolis;53,5;57,63;69,058;73,596;76,71;
MG;3102001;Alterosa;57,19;60,25;67,588;70,233;75,83;
MG;3102050;Alto Caparaó;;;65,668;73,36;75,54;
MG;3102100;Alto Rio Doce;52,18;55,22;64,413;70,119;74,7;
MG;3102209;Alvarenga;48,44;58,85;63,924;66,289;72,85;
MG;3102308;Alvinópolis;54,3;56,77;66,61;69,518;74,34;
MG;3102407;Alvorada de Minas;51,85;55,9;65,543;69,589;72,65;
MG;3102506;Amparo do Serra;50,03;56,8;62,783;67,416;73,63;
MG;3102605;Andradas;55,64;57,31;71,475;76,07;77,69;
MG;3102704;Cachoeira de Pajeú;47,18;52,77;62,48;65,695;71,25;
MG;3102803;Andrelândia;48,46;60,15;63,673;68,518;74,06;
MG;3102852;Angelândia;;;62,66;64,258;70,36;
MG;3102902;Antônio Carlos;47,92;56,59;67,671;70,932;75,3;
MG;3103009;Antônio Dias;48,17;55,29;60,321;63,904;75,93;
MG;3103108;Antônio Prado de Minas;50,55;56,95;61,862;66,224;74,79;
MG;3103207;Araçaí;47,62;56,76;65,763;69,193;73,28;
MG;3103306;Aracitaba;52,13;54,83;62,031;66,089;74,37;
MG;3103405;Araçuaí;51,46;57,21;64,139;67,638;74,27;
MG;3103504;Araguari;56,74;59,74;70,964;73,923;77,28;
MG;3103603;Arantina;50,5;59,07;66,275;70,48;75,05;
MG;3103702;Araponga;55,74;56,8;64,518;69,991;70,6;
MG;3103751;Araporã;;;70,964;72,423;73,78;
MG;3103801;Arapuá;56,34;59,25;69,606;73,57;77,27;
MG;3103900;Araújos;55,65;59,03;67,633;72,277;76,27;
MG;3104007;Araxá;57,63;61,08;67,413;70,082;76,49;
MG;3104106;Arceburgo;52,95;56,97;64,93;68,481;73,61;
MG;3104205;Arcos;50,92;59,64;68,59;74,484;77,43;
