Sigla;Código;Município;2022;
ES;3200102;Afonso Cláudio;2;
ES;3200136;Águia Branca;2;
ES;3200169;Água Doce do Norte;3;
ES;3200201;Alegre;4;
ES;3200300;Alfredo Chaves;1;
ES;3200359;Alto Rio Novo;0;
ES;3200409;Anchieta;7;
ES;3200508;Apiacá;1;
ES;3200607;Aracruz;18;
ES;3200706;Atilio Vivacqua;1;
ES;3200805;Baixo Guandu;11;
ES;3200904;Barra de São Francisco;8;
ES;3201001;Boa Esperança;6;
ES;3201100;Bom Jesus do Norte;2;
ES;3201159;Brejetuba;4;
ES;3201209;Cachoeiro de Itapemirim;42;
ES;3201308;Cariacica;136;
ES;3201407;Castelo;6;
ES;3201506;Colatina;26;
ES;3201605;Conceição da Barra;10;
ES;3201704;Conceição do Castelo;2;
ES;3201803;Divino de São Lourenço;0;
ES;3201902;Domingos Martins;5;
ES;3202009;Dores do Rio Preto;1;
ES;3202108;Ecoporanga;7;
ES;3202207;Fundão;3;
ES;3202256;Governador Lindenberg;0;
ES;3202306;Guaçuí;3;
ES;3202405;Guarapari;26;
ES;3202454;Ibatiba;7;
ES;3202504;Ibiraçu;5;
ES;3202553;Ibitirama;1;
ES;3202603;Iconha;2;
ES;3202652;Irupi;2;
ES;3202702;Itaguaçu;7;
ES;3202801;Itapemirim;11;
ES;3202900;Itarana;0;
ES;3203007;Iúna;14;
ES;3203056;Jaguaré;23;
ES;3203106;Jerônimo Monteiro;0;
ES;3203130;João Neiva;2;
ES;3203163;Laranja da Terra;0;
ES;3203205;Linhares;61;
ES;3203304;Mantenópolis;5;
ES;3203320;Marataízes;8;
ES;3203346;Marechal Floriano;2;
ES;3203353;Marilândia;0;
ES;3203403;Mimoso do Sul;2;
ES;3203502;Montanha;4;
ES;3203601;Mucurici;3;
ES;3203700;Muniz Freire;2;
ES;3203809;Muqui;1;
ES;3203908;Nova Venécia;5;
ES;3204005;Pancas;2;
ES;3204054;Pedro Canário;16;
ES;3204104;Pinheiros;9;
ES;3204203;Piúma;9;
ES;3204252;Ponto Belo;0;
ES;3204302;Presidente Kennedy;3;
ES;3204351;Rio Bananal;3;
ES;3204401;Rio Novo do Sul;5;
ES;3204500;Santa Leopoldina;0;
ES;3204559;Santa Maria de Jetibá;5;
ES;3204609;Santa Teresa;3;
ES;3204658;São Domingos do Norte;4;
ES;3204708;São Gabriel da Palha;15;
ES;3204807;São José do Calçado;0;
ES;3204906;São Mateus;44;
ES;3204955;São Roque do Canaã;1;
ES;3205002;Serra;193;
ES;3205010;Sooretama;21;
ES;3205036;Vargem Alta;1;
ES;3205069;Venda Nova do Imigrante;2;
ES;3205101;Viana;18;
ES;3205150;Vila Pavão;3;
ES;3205176;Vila Valério;12;
ES;3205200;Vila Velha;161;
ES;3205309;Vitória;90;
ES;3299919;Riacho;;
ES;3299929;Ponte do Itabapoana;;
MG;3100104;Abadia dos Dourados;1;
MG;3100203;Abaeté;3;
MG;3100302;Abre Campo;1;
MG;3100401;Acaiaca;0;
MG;3100500;Açucena;3;
MG;3100609;Água Boa;1;
MG;3100708;Água Comprida;1;
MG;3100807;Aguanil;0;
MG;3100906;Águas Formosas;8;
