Sigla;Código;Município;2021;
ES;3200102;Afonso Cláudio;265973,256001349;
ES;3200136;Águia Branca;114836,460383831;
ES;3200169;Água Doce do Norte;86080,1977516593;
ES;3200201;Alegre;268478,610722735;
ES;3200300;Alfredo Chaves;213666,565626684;
ES;3200359;Alto Rio Novo;52765,095132705;
ES;3200409;Anchieta;2690746,30269645;
ES;3200508;Apiacá;55173,3539379284;
ES;3200607;Aracruz;2480196,60934007;
ES;3200706;Atilio Vivacqua;168454,879241279;
ES;3200805;Baixo Guandu;433320,868352534;
ES;3200904;Barra de São Francisco;543833,292816074;
ES;3201001;Boa Esperança;126525,314906567;
ES;3201100;Bom Jesus do Norte;87214,5394645287;
ES;3201159;Brejetuba;137591,448505448;
ES;3201209;Cachoeiro de Itapemirim;2869447,6019367;
ES;3201308;Cariacica;6394780,45159294;
ES;3201407;Castelo;546442,278755673;
ES;3201506;Colatina;2043825,15535231;
ES;3201605;Conceição da Barra;283384,23427567;
ES;3201704;Conceição do Castelo;130275,644668374;
ES;3201803;Divino de São Lourenço;38548,0123314092;
ES;3201902;Domingos Martins;447053,871994881;
ES;3202009;Dores do Rio Preto;74587,402290407;
ES;3202108;Ecoporanga;191899,341729113;
ES;3202207;Fundão;218689,412058978;
ES;3202256;Governador Lindenberg;156067,214206541;
ES;3202306;Guaçuí;285917,130627122;
ES;3202405;Guarapari;1184510,42585926;
ES;3202454;Ibatiba;210105,292817021;
ES;3202504;Ibiraçu;135147,245538952;
ES;3202553;Ibitirama;80282,9180265053;
ES;3202603;Iconha;146973,808212016;
ES;3202652;Irupi;110271,085094999;
ES;3202702;Itaguaçu;152117,090924936;
ES;3202801;Itapemirim;2681427,89558851;
ES;3202900;Itarana;124184,743158284;
ES;3203007;Iúna;251349,584051119;
ES;3203056;Jaguaré;449831,842173188;
ES;3203106;Jerônimo Monteiro;80349,2046615783;
ES;3203130;João Neiva;301676,544712089;
ES;3203163;Laranja da Terra;87614,1265041238;
ES;3203205;Linhares;3751267,11084433;
ES;3203304;Mantenópolis;94796,8902637619;
ES;3203320;Marataízes;3108794,63696671;
ES;3203346;Marechal Floriano;241295,488655325;
ES;3203353;Marilândia;146057,465503225;
ES;3203403;Mimoso do Sul;283545,749597749;
ES;3203502;Montanha;191627,193079482;
ES;3203601;Mucurici;45162,6716200341;
ES;3203700;Muniz Freire;178944,972645229;
ES;3203809;Muqui;109382,750823562;
ES;3203908;Nova Venécia;625355,584195529;
ES;3204005;Pancas;167349,946387632;
ES;3204054;Pedro Canário;187393,717773304;
ES;3204104;Pinheiros;402248,77475841;
ES;3204203;Piúma;408946,525744521;
ES;3204252;Ponto Belo;50204,1903438979;
ES;3204302;Presidente Kennedy;3179809,56307251;
ES;3204351;Rio Bananal;245392,189425753;
ES;3204401;Rio Novo do Sul;107311,060073886;
ES;3204500;Santa Leopoldina;154120,161003093;
ES;3204559;Santa Maria de Jetibá;761560,615051914;
ES;3204609;Santa Teresa;269434,165243823;
ES;3204658;São Domingos do Norte;154671,460411693;
ES;3204708;São Gabriel da Palha;355737,496879742;
ES;3204807;São José do Calçado;95040,0968614594;
ES;3204906;São Mateus;1375981,70530413;
ES;3204955;São Roque do Canaã;106891,400320853;
ES;3205002;Serra;17402298,459585;
ES;3205010;Sooretama;311607,402983522;
ES;3205036;Vargem Alta;200773,815104981;
ES;3205069;Venda Nova do Imigrante;327770,138566398;
ES;3205101;Viana;1973459,55818585;
ES;3205150;Vila Pavão;84325,4691513812;
ES;3205176;Vila Valério;202624,239199554;
ES;3205200;Vila Velha;7611685,90290405;
ES;3205309;Vitória;14668752,930574;
ES;3299919;Riacho;;
ES;3299929;Ponte do Itabapoana;;
MG;3100104;Abadia dos Dourados;82519,3917492859;
MG;3100203;Abaeté;252654,310424563;
MG;3100302;Abre Campo;122624,206390333;
MG;3100401;Acaiaca;30299,0607231318;
MG;3100500;Açucena;77407,8519320352;
MG;3100609;Água Boa;89661,5432747595;
MG;3100708;Água Comprida;107286,786094845;
MG;3100807;Aguanil;44166,971672071;
MG;3100906;Águas Formosas;134253,309580045;
MG;3101003;Águas Vermelhas;110469,478192929;
MG;3101102;Aimorés;297827,71861225;
MG;3101201;Aiuruoca;60007,6102253666;
MG;3101300;Alagoa;22274,643420982;
MG;3101409;Albertina;71870,1170597023;
MG;3101508;Além Paraíba;453647,991762779;
MG;3101607;Alfenas;1627228,12494432;
MG;3101631;Alfredo Vasconcelos;70330,5866197669;
MG;3101706;Almenara;315048,239512559;
MG;3101805;Alpercata;44158,5691408646;
MG;3101904;Alpinópolis;244708,783554296;
MG;3102001;Alterosa;138420,031443861;
MG;3102050;Alto Caparaó;45332,1226660307;
MG;3102100;Alto Rio Doce;84086,9306265762;
MG;3102209;Alvarenga;25510,0847427505;
MG;3102308;Alvinópolis;158814,841911046;
MG;3102407;Alvorada de Minas;30274,786744091;
MG;3102506;Amparo do Serra;26106,6644584077;
MG;3102605;Andradas;552612,070697646;
MG;3102704;Cachoeira de Pajeú;58630,0619147998;
MG;3102803;Andrelândia;136278,319600797;
MG;3102852;Angelândia;67472,7923949989;
MG;3102902;Antônio Carlos;112922,55049792;
MG;3103009;Antônio Dias;417617,004334988;
MG;3103108;Antônio Prado de Minas;13337,1510610658;
MG;3103207;Araçaí;28007,50374022;
MG;3103306;Aracitaba;14640,0102053532;
MG;3103405;Araçuaí;242748,65974675;
MG;3103504;Araguari;2725138,3297317;
MG;3103603;Arantina;41332,0510044762;
MG;3103702;Araponga;57088,6642457074;
MG;3103751;Araporã;604336,185575331;
MG;3103801;Arapuá;80671,7684984477;
MG;3103900;Araújos;221423,969159385;
MG;3104007;Araxá;4178328,09344807;
MG;3104106;Arceburgo;161843,954410968;
MG;3104205;Arcos;1095372,64036303;
MG;3104304;Areado;144405,90131387;
MG;3104403;Argirita;18715,2378404764;
MG;3104452;Aricanduva;31315,3001918217;
MG;3104502;Arinos;148734,138499765;
MG;3104601;Astolfo Dutra;136324,066715143;
MG;3104700;Ataléia;92902,1194767097;
MG;3104809;Augusto de Lima;41564,9878418103;
MG;3104908;Baependi;177873,183109119;
MG;3105004;Baldim;93957,5707576964;
MG;3105103;Bambuí;364115,754107141;
MG;3105202;Bandeira;27595,7797111045;
MG;3105301;Bandeira do Sul;40417,575524842;
MG;3105400;Barão de Cocais;1138549,04696732;
MG;3105509;Barão de Monte Alto;29462,5420608018;
MG;3105608;Barbacena;1644625,09899997;
MG;3105707;Barra Longa;38244,1207861097;
MG;3105905;Barroso;284248,761375355;
MG;3106002;Bela Vista de Minas;265267,910187297;
MG;3106101;Belmiro Braga;28741,791606205;
MG;3106200;Belo Horizonte;49402063,7086031;
MG;3106309;Belo Oriente;987167,644330238;
MG;3106408;Belo Vale;130662,161103871;
MG;3106507;Berilo;52670,8000602771;
MG;3106606;Bertópolis;25110,4977031554;
MG;3106655;Berizal;28487,3816335656;
MG;3106705;Betim;15466688,1032186;
MG;3106804;Bias Fortes;19408,9134722969;
MG;3106903;Bicas;129589,904760471;
MG;3107000;Biquinhas;30099,2672033342;
MG;3107109;Boa Esperança;494138,856032033;
MG;3107208;Bocaina de Minas;37447,7475506549;
MG;3107307;Bocaiúva;571971,502597283;
MG;3107406;Bom Despacho;846833,236193177;
MG;3107505;Bom Jardim de Minas;59645,8345762005;
MG;3107604;Bom Jesus da Penha;91539,0421921095;
MG;3107703;Bom Jesus do Amparo;74845,0799140711;
MG;3107802;Bom Jesus do Galho;79883,7977941994;
MG;3107901;Bom Repouso;74797,465570568;
MG;3108008;Bom Sucesso;207765,654683317;
MG;3108107;Bonfim;63243,9851617136;
MG;3108206;Bonfinópolis de Minas;214133,37291593;
MG;3108255;Bonito de Minas;47165,7416981915;
MG;3108305;Borda da Mata;174989,714483443;
MG;3108404;Botelhos;152144,632555001;
MG;3108503;Botumirim;35362,0525823009;
MG;3108552;Brasilândia de Minas;193769,371729835;
MG;3108602;Brasília de Minas;176184,741143914;
MG;3108701;Brás Pires;23355,302295588;
MG;3108800;Braúnas;99469,1644218315;
MG;3108909;Brasópolis;92442,781104091;
MG;3109006;Brumadinho;2158954,77071379;
MG;3109105;Bueno Brandão;112378,253198658;
MG;3109204;Buenópolis;84363,7473490994;
MG;3109253;Bugre;22200,4210619918;
MG;3109303;Buritis;543370,68679243;
MG;3109402;Buritizeiro;343630,849833131;
MG;3109451;Cabeceira Grande;222848,198198876;
MG;3109501;Cabo Verde;135767,632426361;
MG;3109600;Cachoeira da Prata;24210,4932494878;
MG;3109709;Cachoeira de Minas;250679,71559105;
MG;3109808;Cachoeira Dourada;125860,11451939;
MG;3109907;Caetanópolis;147167,533237053;
MG;3110004;Caeté;501788,893888207;
MG;3110103;Caiana;41385,2670354503;
MG;3110202;Cajuri;45430,1521967725;
MG;3110301;Caldas;157623,549708889;
MG;3110400;Camacho;33084,4998180665;
MG;3110509;Camanducaia;462313,335473065;
MG;3110608;Cambuí;870931,228885956;
MG;3110707;Cambuquira;173121,084904588;
MG;3110806;Campanário;24957,3849122825;
MG;3110905;Campanha;205337,789971945;
MG;3111002;Campestre;227051,331031253;
MG;3111101;Campina Verde;250598,024315432;
MG;3111150;Campo Azul;18981,317995347;
MG;3111200;Campo Belo;581010,292138965;
MG;3111309;Campo do Meio;107894,102378155;
MG;3111408;Campo Florido;331856,569576463;
MG;3111507;Campos Altos;202727,870417767;
MG;3111606;Campos Gerais;328889,075638722;
MG;3111705;Canaã;36158,8926250449;
MG;3111804;Canápolis;316500,943796694;
MG;3111903;Cana Verde;37409,0025456474;
MG;3112000;Candeias;173255,058596602;
MG;3112059;Cantagalo;26496,4485449287;
MG;3112109;Caparaó;45571,5948054142;
MG;3112208;Capela Nova;29164,2522029732;
MG;3112307;Capelinha;414554,281710241;
MG;3112406;Capetinga;96759,814915044;
MG;3112505;Capim Branco;57594,2165399615;
MG;3112604;Capinópolis;311174,205819101;
MG;3112653;Capitão Andrade;28387,9516809561;
MG;3112703;Capitão Enéas;234112,258088398;
MG;3112802;Capitólio;153322,38734577;
MG;3112901;Caputira;67104,0146364941;
MG;3113008;Caraí;98229,3242615924;
MG;3113107;Caranaíba;19364,5667798185;
MG;3113206;Carandaí;350991,933977261;
MG;3113305;Carangola;298411,227723808;
MG;3113404;Caratinga;1065855,48184939;
MG;3113503;Carbonita;103015,966205527;
MG;3113602;Careaçu;81316,4293648973;
MG;3113701;Carlos Chagas;221636,366475992;
MG;3113800;Carmésia;18573,3284245454;
MG;3113909;Carmo da Cachoeira;150145,296935158;
MG;3114006;Carmo da Mata;124044,70097151;
MG;3114105;Carmo de Minas;135580,909510662;
MG;3114204;Carmo do Cajuru;293640,457227708;
MG;3114303;Carmo do Paranaíba;494920,291434232;
MG;3114402;Carmo do Rio Claro;324252,278834635;
MG;3114501;Carmópolis de Minas;215480,111945407;
MG;3114550;Carneirinho;190215,101029511;
MG;3114600;Carrancas;82928,7817419552;
MG;3114709;Carvalhópolis;33323,97195745;
MG;3114808;Carvalhos;37642,4061902707;
MG;3114907;Casa Grande;32322,2035147268;
MG;3115003;Cascalho Rico;37346,4503688884;
MG;3115102;Cássia;203731,039282358;
MG;3115201;Conceição da Barra de Minas;32085,0654117895;
MG;3115300;Cataguases;770983,120185357;
MG;3115359;Catas Altas;2349141,39649865;
MG;3115409;Catas Altas da Noruega;19042,4697502383;
MG;3115458;Catuji;38879,9123140636;
MG;3115474;Catuti;26535,1935499361;
MG;3115508;Caxambu;173201,842565628;
MG;3115607;Cedro do Abaeté;10459,2841228603;
MG;3115706;Central de Minas;40645,3774819944;
MG;3115805;Centralina;163882,035035819;
MG;3115904;Chácara;22010,4304952684;
MG;3116001;Chalé;53300,5230934709;
MG;3116100;Chapada do Norte;51874,8936321116;
MG;3116159;Chapada Gaúcha;188178,420826528;
MG;3116209;Chiador;17389,9719463052;
MG;3116308;Cipotânea;34219,7751455144;
MG;3116407;Claraval;84966,8623668061;
MG;3116506;Claro dos Poções;39085,7743286214;
MG;3116605;Cláudio;522207,978334434;
MG;3116704;Coimbra;65280,6653646967;
MG;3116803;Coluna;56575,176227536;
MG;3116902;Comendador Gomes;72265,9696409834;
MG;3117009;Comercinho;31803,1138090845;
MG;3117108;Conceição da Aparecida;127987,822143777;
MG;3117207;Conceição das Pedras;28495,3173574828;
MG;3117306;Conceição das Alagoas;615423,325502228;
MG;3117405;Conceição de Ipanema;37818,859345606;
MG;3117504;Conceição do Mato Dentro;4225089,58003377;
MG;3117603;Conceição do Pará;230659,751377129;
MG;3117702;Conceição do Rio Verde;160384,714824783;
MG;3117801;Conceição dos Ouros;105090,924606229;
MG;3117836;Cônego Marinho;29632,9267213768;
MG;3117876;Confins;226743,23822035;
MG;3117900;Congonhal;102889,461430142;
MG;3118007;Congonhas;1921212,61914421;
MG;3118106;Congonhas do Norte;23013,5993598595;
MG;3118205;Conquista;228799,524329481;
MG;3118304;Conselheiro Lafaiete;1455761,40507283;
MG;3118403;Conselheiro Pena;179197,048581423;
MG;3118502;Consolação;14681,5560540961;
MG;3118601;Contagem;17029020,2120045;
MG;3118700;Coqueiral;109310,395693729;
MG;3118809;Coração de Jesus;127387,507969805;
MG;3118908;Cordisburgo;68241,1571930989;
MG;3119005;Cordislândia;53108,6652975905;
MG;3119104;Corinto;285823,769169273;
MG;3119203;Coroaci;58627,7278783535;
MG;3119302;Coromandel;716644,884487891;
MG;3119401;Coronel Fabriciano;931756,218674793;
MG;3119500;Coronel Murta;55953,8557255488;
MG;3119609;Coronel Pacheco;28056,0516983017;
MG;3119708;Coronel Xavier Chaves;42440,2515091477;
MG;3119807;Córrego Danta;77304,6875211117;
MG;3119906;Córrego do Bom Jesus;21304,1510666383;
MG;3119955;Córrego Fundo;149675,688802176;
MG;3120003;Córrego Novo;17984,2176255161;
MG;3120102;Couto de Magalhães de Minas;29534,8971906351;
MG;3120151;Crisólita;35672,9462369391;
MG;3120201;Cristais;137955,55819106;
MG;3120300;Cristália;27621,4541120131;
MG;3120409;Cristiano Otoni;57741,2608360742;
MG;3120508;Cristina;109184,357725633;
MG;3120607;Crucilândia;38790,7521218175;
MG;3120706;Cruzeiro da Fortaleza;85912,6139348198;
MG;3120805;Cruzília;148327,082543542;
MG;3120839;Cuparaque;34568,9469978708;
MG;3120870;Curral de Dentro;37556,0468417601;
MG;3120904;Curvelo;1041268,27511748;
MG;3121001;Datas;34526,9343418386;
MG;3121100;Delfim Moreira;58684,6783676416;
MG;3121209;Delfinópolis;115415,768229786;
MG;3121258;Delta;217890,237979787;
MG;3121308;Descoberto;38159,1618594668;
MG;3121407;Desterro de Entre Rios;121931,93118038;
MG;3121506;Desterro do Melo;23632,1190181113;
MG;3121605;Diamantina;459459,275706611;
MG;3121704;Diogo de Vasconcelos;20045,6386148293;
