Sigla;Código;Município;2022;
ES;3200102;Afonso Cláudio;10,21;
ES;3200136;Águia Branca;8,53;
ES;3200169;Água Doce do Norte;14,71;
ES;3200201;Alegre;8,98999999999999;
ES;3200300;Alfredo Chaves;5,79000000000001;
ES;3200359;Alto Rio Novo;12,73;
ES;3200409;Anchieta;4,40000000000001;
ES;3200508;Apiacá;9,56999999999999;
ES;3200607;Aracruz;5;
ES;3200706;Atilio Vivacqua;7,44;
ES;3200805;Baixo Guandu;8,61;
ES;3200904;Barra de São Francisco;10,77;
ES;3201001;Boa Esperança;10,68;
ES;3201100;Bom Jesus do Norte;5,89;
ES;3201159;Brejetuba;14,35;
ES;3201209;Cachoeiro de Itapemirim;4,26000000000001;
ES;3201308;Cariacica;4,53;
ES;3201407;Castelo;5,86;
ES;3201506;Colatina;5,23999999999999;
ES;3201605;Conceição da Barra;11,28;
ES;3201704;Conceição do Castelo;7,78;
ES;3201803;Divino de São Lourenço;10,27;
ES;3201902;Domingos Martins;7,18000000000001;
ES;3202009;Dores do Rio Preto;11,27;
ES;3202108;Ecoporanga;14,16;
ES;3202207;Fundão;6,63;
ES;3202256;Governador Lindenberg;8,84999999999999;
ES;3202306;Guaçuí;8,84;
ES;3202405;Guarapari;4,2;
ES;3202454;Ibatiba;12,09;
ES;3202504;Ibiraçu;6,40000000000001;
ES;3202553;Ibitirama;12,46;
ES;3202603;Iconha;5,56;
ES;3202652;Irupi;10,94;
ES;3202702;Itaguaçu;8,42;
ES;3202801;Itapemirim;7,94;
ES;3202900;Itarana;7,39;
ES;3203007;Iúna;9,69;
ES;3203056;Jaguaré;9,92;
ES;3203106;Jerônimo Monteiro;8,73999999999999;
ES;3203130;João Neiva;6,73;
ES;3203163;Laranja da Terra;10,68;
ES;3203205;Linhares;5,88;
ES;3203304;Mantenópolis;13,85;
ES;3203320;Marataízes;7,14;
ES;3203346;Marechal Floriano;6,06999999999999;
ES;3203353;Marilândia;8,54000000000001;
ES;3203403;Mimoso do Sul;9,33;
ES;3203502;Montanha;12,42;
ES;3203601;Mucurici;15,03;
ES;3203700;Muniz Freire;11,87;
ES;3203809;Muqui;8,09;
ES;3203908;Nova Venécia;7,69;
ES;3204005;Pancas;12,74;
ES;3204054;Pedro Canário;12,95;
ES;3204104;Pinheiros;11,78;
ES;3204203;Piúma;4,55;
ES;3204252;Ponto Belo;13,22;
ES;3204302;Presidente Kennedy;12,63;
ES;3204351;Rio Bananal;8,59999999999999;
ES;3204401;Rio Novo do Sul;6,86;
ES;3204500;Santa Leopoldina;9,8;
